LECTURE NAME,LECTURE CODE,LECTURE LOCATION AND TIME,PROFESSOR,PROFESSOR CONTACT,LECTURE CAREER,LECTURE WEBSITE,LECTURE UNITS OF CREDIT,LECTURE INTRODUCTION
ALGORITHMIC VERIFICATION,COMP9153,"Mon 15:00 - 17:00 (Weeks:1-5,6-12),UNSW Business School 105 (K-E12-105)/Wed 12:00 - 13:00 (Weeks:1-5,6-12),UNSW Business School 130 (K-E12-130)",DR P HOFNER,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9153.html,6 units,None
PRINCIPLES OF GEOGRAPHIC INFORMATION SYSTEMS AND SCIENCE,GEOS9016,"Thu 17:00 - 18:00 (Weeks:1-5,6-12),Mathews Theatre D (K-D23-304)",APRO S LAFFAN,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/GEOS9016.html,6 units,None
MICROPROCESSORS AND INTERFACING,COMP9032,"Mon 18:00 - 21:00 (Weeks:1-9,10-12),Chemical Sc M11 (K-F10-M11)",DR H GUO,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9032.html,6 units,None
AERIAL AND SATELLITE IMAGING SYSTEMS,GMAT9300,"Tue 15:00 - 18:00 (Weeks:1-9,10-12),UNSW Business School 105 (K-E12-105)","EPRO J TRINDER,DR Y ZHOU",None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/GMAT9300.html,6 units,None
LAUNCHING A STARTUP,GSOE9220,"Tue 12:00 - 15:00 (Weeks:1-9,10-12),Civil Engineering G1 (K-H20-G1)",MS SJ GRIFFITH,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/GSOE9220.html,6 units,None
NEURAL NETWORKS AND DEEP LEARNING,COMP9444,"Mon 18:00 - 21:00 (Weeks:1-9,10-12),Central Lecture Block 7 (K-E19-104)",DR AD BLAIR,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9444.html,6 units,None
EXTENDED OPERATING SYSTEMS,COMP9283,"Wed 16:00 - 17:00 (Weeks:2-5,6-13),Tyree Energy Technology LG07 (K-H6-LG07)",APRO K ELPHINSTONE,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9283.html,6 units,None
SOFTWARE AS A SERVICE PROJECT,COMP9323,"Tue 18:00 - 21:00 (Weeks:1-9,10-12),Colombo LG02 (K-B16-LG02)",SCI B BENATALLAH,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9323.html,6 units,None
BIG DATA MANAGEMENT,COMP9313,"Tue 18:00 - 21:00 (Weeks:1-5,6-12),Old Main Building 230 (K-K15-230)",DR X CAO,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9313.html,6 units,None
WEB APPLICATION SECURITY AND TESTING,COMP6443,"Tue 18:00 - 21:00 (Weeks:1-5,6-12),Civil Engineering 109 (K-H20-109)",PROF RJ BUCKLAN,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP6443.html,6 units,None
HUMAN COMPUTER INTERACTION,COMP9511,"Tue 15:00 - 18:00 (Weeks:1-9,10-12),Central Lecture Block 6 (K-E19-103)",DR N MARCUS,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9511.html,6 units,None
E-BUSINESS STRATEGY &AMP,MBAX9117,"Tue 18:00 - 19:30 (Weeks:1-13),( )",PROF GC LOW,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/2017/MBAX9117.html,6 units,None
COMPUTER NETWORKS AND APPLICATIONS,COMP9331,"Wed 16:00 - 18:00 (Weeks:1-5,6-12),Ritchie Theatre (K-G19-LG02)/Thu 15:00 - 16:00 (Weeks:1-5,6-12),Ritchie Theatre (K-G19-LG02)",PROF M HASSAN,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9331.html,6 units,None
SWITCHING SYSTEMS ARCHITECTURE,TELE9751,"Wed 18:00 - 21:00 (Weeks:1-5,6-12),Tyree Energy Technology G17 (K-H6-G17)",None,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/TELE9751.html,6 units,None
INTERNET OF THINGS EXPERIMENTAL DESIGN STUDIO,COMP6733,"Wed 13:00 - 16:00 (Weeks:1-9,10-12),Vallentine Annexe 121 (K-H22-121)",APRO S KANHERE,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP6733.html,6 units,None
COMPUTER ARCHITECTURE,COMP9211,"Wed 09:00 - 11:00 (Weeks:1-5,6-12),Ainsworth 102 (K-J17-102)/Thu 13:00 - 14:00 (Weeks:1-5,6-12),Ainsworth 202 (K-J17-202)",DR H GUO,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9211.html,6 units,None
DATA SERVICES ENGINEERING,COMP9321,"Thu 17:00 - 20:00 (Weeks:1-5,6-12),Tyree Energy Technology G16 (K-H6-G16)",DR H PAIK,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9321.html,6 units,None
ROBOTIC SOFTWARE ARCHITECTURE,COMP9431,"Mon 12:00 - 14:00 (Weeks:1-9,10-12),Ainsworth G01 (K-J17-G01)/Wed 12:00 - 14:00 (Weeks:1-9,10-12),Newton 306 (K-J12-306)",PROF C SAMMU,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9431.html,6 units,None
